RANK,CITY,STATE,STATION_ID,HAPPINESS_SCORE
185,Yuma,AZ,USC00029656,-1.261725
186,Birmingham,AL,USW00013876,-1.273424846
187,Santa Fe,NM,USC00298085,-1.282003895
188,Valdosta,GA,USW00093845,-1.296867386
189,Shreveport,LA,USC00168444,-1.306109613
190,Sacramento,CA,USR0000CSAC,-1.316503324
191,Greenville,NC,USC00313638,-1.36340639
192,Asheville,NC,USW00003812,-1.397900816
193,San Diego,CA,USC00047741,-1.400588261
194,Lancaster,PA,USC00364763,-1.405941794
195,Las Vegas,NV,USC00264439,-1.464703165
196,Durham,NC,USW00003758,-1.467399049
197,Auburn,AL,USC00010425,-1.48582098
198,Charleston,SC,USW00013782,-1.49435134
199,McAllen,TX,USC00415701,-1.494733179
200,Corpus Christi,TX,USC00412011,-1.504517354
201,Dothan,AL,USW00013839,-1.545861172
202,Reading,PA,USW00014712,-1.555690864
203,Raleigh,NC,USC00317079,-1.636373408
204,Stockton,CA,USW00023237,-1.676382269
205,Lake Havasu City,AZ,USC00024761,-1.690982687
206,Trenton,NJ,USW00014792,-1.732701087
207,Savannah,GA,USW00003822,-1.756193471
208,Montgomery,AL,USC00015553,-1.759435654
209,Tuscaloosa,AL,USC00018380,-1.794633455
210,Modesto,CA,USW00023258,-1.866021518
211,Jacksonville,FL,USC00084366,-1.882261358
212,Mobile,AL,USW00013838,-1.914812397
213,Laredo,TX,USC00415060,-1.938528395
214,Tampa,FL,USC00088782,-1.991973288
215,Tallahassee,FL,USC00088756,-2.000361642
216,Wilmington,NC,USC00319461,-2.009416187
217,Vallejo,CA,USC00049219,-2.057595681
218,Ocala,FL,USC00086414,-2.131953291
219,Lake Charles,LA,USW00003937,-2.199015006
220,Orlando,FL,USC00086634,-2.282299518
221,Jackson,MS,USW00003940,-2.314468956
222,New Orleans,LA,USW00012916,-2.336381037
223,Gainesville,FL,USW00012816,-2.385219297
224,Lafayette,LA,USW00013976,-2.406997597
225,Baton Rouge,LA,USW00013970,-2.424320725
226,Daytona Beach,FL,USC00082150,-2.467374466
227,Providence,RI,USW00014765,-2.490675279
228,Lakeland,FL,USC00084802,-2.546619873
229,Pensacola,FL,USW00003855,-2.855122744
230,Santa Rosa,CA,USC00047965,-2.977030854
231,Melbourne,FL,USC00085603,-3.095642977
232,Salinas,CA,USC00047668,-3.151185661
233,Santa Maria,CA,USW00023273,-3.299619022
234,Sarasota,FL,USW00012871,-3.693770876
235,Napa,CA,USC00046074,-3.869414745
236,Miami,FL,USC00085667,-4.341731859
237,Santa Cruz,CA,USC00047916,-4.887146917
238,San Jose,CA,USW00023293,-5.135859645
239,San Francisco,CA,USC00047767,-8.256095458
